"","v_bh","v_daily","v_mon","v_con"
"2",32158.2470948611,26993.6632271789,27406.7860953431,26974.1495251546
"21",35861.2856467333,30590.2607365763,31007.1427139721,30572.1202164619
"22",33726.4723366832,28964.4641671165,29341.8372183883,28947.9140415583
"23",32719.6042407537,28424.6034718563,28768.4069140851,28409.3627941694
"24",32719.6042407537,28838.019770089,29149.0815493724,28823.9855150784
"25",33983.6363814039,30615.8332446358,30884.5970707869,30604.0129802489
"26",32963.7275997165,30369.5265559394,30584.1427995045,30358.1359614032
