"","v_bh","v_daily","v_mon","v_con"
"1",1217223.76067823,1188002.87538472,1190250.12551884,1187892.18798609
"2",1225866.92042607,1194889.61131856,1197369.68612175,1194780.54200605
"3",1236567.24593351,1203355.30190371,1206036.35226268,1203269.34620103
"4",1230113.15878098,1198285.72723747,1200813.23099526,1198168.79115824
"5",1174826.6420763,1153530.39075697,1155322.4004963,1153468.08559889
"6",1210095.97159634,1182269.0339723,1184477.77798379,1182167.455028
"7",1171119.98593698,1150510.80405696,1152352.45020108,1150406.88523012
"8",1283347.84420402,1239853.25527523,1243118.09660526,1239684.11560371
"9",1207581.35990571,1180220.00844281,1182422.95989877,1180128.97636504
"10",1188128.10352619,1164451.60533414,1166307.10694244,1164377.9032923
"11",1293762.22868489,1247823.77147763,1251486.95771771,1247650.45551393
"12",1234143.58486679,1201439.08262963,1203813.58669809,1201353.92336517
"13",1248605.52751623,1212873.66820401,1215748.07256887,1212735.1672534
"14",1251144.27748505,1214873.26981504,1217549.38195903,1214720.44617027
"15",1206698.40745937,1179576.55328257,1181807.05171599,1179436.44859866
"16",1192229.56424494,1167808.98704437,1169974.01430572,1167710.95531369
"17",1178611.72738219,1156735.45433341,1158252.81283246,1156578.2730435
"18",1185081.55828064,1161940.27847038,1163982.73982512,1161891.42137257
"19",1205882.42131561,1178854.81249298,1180961.73527287,1178793.15895137
"20",1181975.63684838,1159374.50569755,1161076.86779933,1159348.33185119
"21",1310779.37893835,1260779.91612119,1264673.14082423,1260547.39637563
"22",1183162.86279383,1160415.84025651,1162120.62893799,1160322.25288859
"23",1259824.66146467,1221676.61742087,1224709.76280938,1221484.11805039
"24",1229256.11832072,1197622.6131903,1200563.73710982,1197488.69621311
"25",1271324.35247357,1230550.46458519,1233961.26273524,1230409.45617081
"26",1181588.69916047,1159129.88212166,1161088.88440206,1159027.20339529
"27",1210996.45111457,1183005.13991767,1185192.01650303,1182894.61657175
"28",1173082.16683169,1152064.35192061,1153712.92191296,1152005.9826396
"29",1187706.42365056,1164137.63507775,1166092.07273001,1164032.49033593
"30",1192942.21413136,1168410.59828193,1170438.02412218,1168291.85946588
"31",1208225.7484597,1180745.36746796,1182750.94518364,1180664.64977014
"32",1232485.3929004,1200175.90885451,1202733.7410828,1200024.12968319
"33",1243576.87739413,1208932.31475613,1211507.36000768,1208791.856264
"34",1169931.19488982,1149461.7055322,1151168.49210508,1149415.66427407
"35",1221739.98126187,1191563.74280145,1194001.99832557,1191495.76706364
"36",1247405.95315768,1211952.95781736,1214558.23127307,1211789.29848382
"37",1241139.62887114,1206976.48710005,1209963.85023965,1206873.98008686
"38",1232097.36249371,1199820.68676792,1202322.68582792,1199714.61397092
"39",1268346.7442454,1228259.31536396,1231296.70379293,1228115.14842847
"40",1194542.99994984,1169664.14592116,1171594.00653369,1169589.0791075
"41",1220381.94369649,1190509.46117483,1192671.33606112,1190410.00647206
"42",1292285.77712866,1246662.15603668,1250368.46040991,1246516.00049739
"43",1217975.39734406,1188586.78510193,1190856.32257779,1188476.56582012
"44",1193811.66688653,1169071.52026722,1171030.37292544,1168997.78921574
"45",1231541.59512136,1199484.59725456,1202141.45407963,1199306.91957032
"46",1201865.21284439,1175576.45085353,1177649.74196187,1175530.18098646
"47",1200394.02156494,1174443.94294251,1176373.28453894,1174348.8955471
"48",1208429.85504036,1180928.55597026,1183417.02718198,1180849.51695246
"49",1228011.96084329,1196601.15037188,1199284.79672532,1196493.81477982
"50",1213088.88854969,1184684.84979383,1186827.16727704,1184581.52042418
"51",1175766.29694273,1154304.35434438,1155931.82579295,1154230.05862219
"52",1250774.89056435,1214595.75886254,1217507.61163332,1214454.28459702
"53",1190156.43013492,1166093.28560661,1167996.25182146,1166028.31746362
