"","v_bh","v_daily","v_mon","v_con"
"1",1333836.46297229,1279120.31776499,1283409.12074276,1279019.0080273
"2",1190652.40490755,1167824.63158271,1169408.64178888,1167645.13072152
"3",1230026.22706517,1199402.40963352,1201957.41093004,1199260.57083655
"4",1413180.86093745,1337017.88263928,1342830.15373339,1336718.1830624
"5",1224270.91227562,1194908.44550208,1196695.29613095,1194656.21764248
"6",1240076.66758845,1207366.00568709,1209885.28951145,1207198.04972175
"7",1418877.90464591,1341050.21260418,1347008.44689679,1340955.20830028
"8",1292043.49402705,1247667.41858498,1251468.5136284,1247514.89043269
"9",1220735.58433127,1191862.49533899,1195152.77235607,1191837.90802121
"10",1212537.59687299,1185232.94479006,1186811.24861886,1185250.18454053
"11",1166253.09992796,1147665.49702099,1150243.31261952,1147486.56456631
"12",1263338.20562968,1225486.80801968,1229383.52737289,1225436.95710406
"13",1205623.97236249,1179788.04776772,1181519.21127921,1179752.88535996
"14",1199666.27667671,1175012.02217444,1176424.84029483,1174850.18512979
"15",1238342.25382706,1206053.9475454,1208256.34162192,1205738.5763691
"16",1380895.17538543,1313622.21658461,1318899.11287957,1313608.63308933
"17",1293563.61174324,1248808.81524214,1253404.21432181,1248574.74892592
"18",1225846.66705413,1196065.97536921,1198277.7863845,1195887.16824605
"19",1295759.46180507,1250455.24781479,1253716.63878876,1250322.70079882
"20",1325445.35008632,1273308.91082019,1276837.03788333,1272741.86272187
"21",1227508.1514138,1197266.31952146,1199392.04891625,1197168.82603554
"22",1352119.55305584,1293012.68551358,1299565.13880282,1292633.39947627
"23",1197435.519942,1173223.60837004,1175076.11533627,1173137.64078801
"24",1080967.94585091,1074264.55580666,1074191.46653792,1074333.38438245
"25",1174393.53491279,1154030.66544213,1155973.13891346,1154066.90663259
"26",1222604.47887192,1193536.49766444,1197152.36823477,1193220.33253406
"27",1302276.92583891,1255398.92032646,1259287.91085403,1255256.12898371
"28",1325876.70339688,1273171.44644362,1278878.41255789,1272984.16414132
"29",1311775.12280166,1262474.81246587,1265899.49852414,1262488.96860769
"30",1315350.65601052,1265296.21666292,1269342.10152204,1265156.73186956
"31",1177125.89867737,1156711.4402839,1157816.32071886,1156497.31807384
"32",1232407.74796316,1201193.09484497,1203484.52552707,1201051.36991305
"33",1322780.39623023,1271025.73794267,1275757.61161974,1270756.9442098
"34",1137341.21515506,1123453.84658789,1124017.27964865,1123212.26821157
"35",1243658.69971484,1209926.89860556,1212968.6998977,1209944.28804829
"36",1269954.61286342,1230505.35044732,1233209.13229758,1230535.77050723
"37",1176705.47669379,1156138.23184995,1157490.5944166,1156084.32145713
"38",1229134.77408437,1198431.26837706,1200757.23164775,1198505.01011531
"39",1162655.21443684,1144446.85661261,1145641.25660632,1144481.75149198
"40",1354841.4911815,1294801.82505086,1299912.76606734,1294501.20916726
"41",1262013.7132791,1224267.01667597,1228370.35805727,1224305.14330787
"42",1324242.23945092,1272027.45172767,1276929.34642381,1271871.77694575
"43",1113653.42617613,1102915.01411125,1104180.01854193,1102866.81024853
"44",1300370.96965298,1254185.51855912,1257714.17622237,1253843.43667272
"45",1178285.59154221,1157409.99792984,1158805.77520595,1157341.85060981
"46",1233089.1639425,1201676.66143656,1203799.12932786,1201671.8010636
"47",1217883.5310997,1189631.12656219,1190960.48868748,1189552.66825917
"48",1355760.69092499,1295750.42555081,1300486.60250854,1295221.01182939
"49",1205944.58071547,1180035.98350544,1182607.59607595,1179905.39823941
"50",1221491.57069497,1192550.36622612,1194034.00069772,1192463.55193062
"51",1287445.5436187,1243967.44824171,1246751.25044705,1243895.0404764
"52",1447984.90169625,1361763.01995403,1367215.33822565,1361355.05463213
"53",1188793.2651748,1166062.45518359,1168247.06431891,1165967.36296701
"54",1159934.67950809,1142298.29325302,1143987.14829321,1142181.78433983
"55",1275893.95103116,1235328.98997793,1239673.25625087,1235095.94896478
"56",1262745.04872385,1224716.25757708,1227824.49125904,1224871.18206518
"57",1326996.19713377,1274282.76125548,1278227.38899319,1273904.66117584
"58",1138503.25911736,1124345.53219958,1124907.20239262,1124228.96484977
"59",1199103.27957791,1174426.00482046,1176573.50239449,1174328.68816378
"60",1464452.63397384,1373476.27217046,1380520.2865838,1372808.73554269
"61",1149836.73164353,1133911.62372863,1134613.91690286,1133742.25003484
"62",1371221.9911119,1306644.84463701,1312001.10641182,1306528.48812331
"63",1194043.02882968,1170405.16741317,1171960.20313129,1170239.91537584
"64",1217684.58557933,1189549.61711782,1191045.59486981,1189434.28584074
"65",1293549.18931613,1248823.45516082,1252145.38202582,1248604.21414159
"66",1256234.32935137,1219929.93444359,1221986.6771992,1219800.641414
"67",1294596.59226542,1249605.85333112,1253101.25226809,1249492.50031214
"68",1267314.34338475,1228517.8006419,1232851.31527657,1228368.69271654
"69",1303951.9560524,1256857.76269915,1259996.00831164,1256548.25571867
"70",1294759.44038935,1249747.45771356,1252772.0994432,1249570.71549319
"71",1333785.4494294,1279091.59368519,1283620.73381783,1278917.15159971
"72",1308829.83101883,1260396.37539401,1263013.48798526,1260241.29608557
"73",1324680.87700799,1272312.21203253,1276842.4264958,1272055.68289099
"74",1247657.86726008,1213299.43437365,1216547.4229511,1213219.21799261
"75",1252151.53178235,1216635.13159134,1219368.27728173,1216617.53355887
"76",1304139.11878185,1256954.47140939,1260784.86264133,1256744.05478851
"77",1118098.18613027,1106811.56751478,1108619.77134731,1106754.98121091
"78",1231100.86332025,1199971.95800248,1202059.79378814,1200054.10383544
"79",1179954.90998738,1158875.22165044,1160412.43730978,1158678.4071827
"80",1191257.49674508,1168145.26680071,1170238.7687243,1168081.1888462
"81",1299982.6450566,1253544.8664765,1256325.42252882,1253430.91590021
"82",1305247.67924119,1257724.01963675,1263062.134125,1257533.58506552
"83",1230021.0686241,1199123.39713306,1201592.90286819,1199157.97766147
"84",1354519.61707451,1294579.54993616,1299825.74526682,1294292.71358206
"85",1292583.93145386,1248036.65472094,1251499.02251494,1247944.88816581
"86",1280184.21818766,1238723.16497375,1241530.81357374,1238435.53832644
"87",1288848.69823305,1245201.8400705,1250205.33891877,1245114.79129933
"88",1139988.90659368,1125817.68546746,1126131.95889339,1125453.73122695
"89",1155335.66318014,1138398.32932416,1140273.91541905,1138336.90175958
"90",1240760.62492965,1207829.17880467,1210331.03643009,1207675.63590602
"91",1339038.86624294,1283492.10979802,1288851.31097442,1282903.24485704
"92",1219364.17282164,1190932.36327406,1193357.20150487,1190681.48465638
"93",1212288.86993231,1185056.53109625,1187083.49707191,1184974.82164312
"94",1415707.14584245,1338763.52566895,1344421.30811387,1338559.33934278
"95",1243275.27544017,1209681.92499039,1212234.34617468,1209673.74872756
"96",1167717.89216696,1148729.23558939,1150129.18395733,1148641.12592893
"97",1363530.54707184,1300945.41983451,1305377.32753145,1300925.55798635
"98",1197904.8252059,1173492.66876338,1176218.70680951,1173466.7603361
"99",1327595.13596087,1274537.26652649,1278189.58108893,1274339.8270806
"100",1325211.26162457,1272558.57780283,1276296.57111913,1272522.96125513
"101",1188087.54097118,1165328.76711136,1167214.1756621,1165411.92238184
"102",1373391.00799828,1308277.7980323,1313384.36904855,1308203.96687493
"103",1243239.92586346,1209755.60737471,1212254.83185419,1209651.35433659
"104",1237363.00030112,1205003.66501117,1207138.74455816,1205029.91892036
"105",1262717.90891319,1225174.04976164,1228437.61557006,1224920.4114392
"106",1315596.28709733,1265373.11727438,1270107.18950396,1265358.44884338
"107",1196244.1281826,1172264.15515165,1174740.53924586,1172040.11855344
"108",1189152.55479988,1166420.25808336,1168469.05420892,1166271.00684563
"109",1224534.22544046,1194999.44356204,1198478.88171375,1194840.8683387
"110",1333314.50912074,1278903.0701245,1283177.965624,1278580.11605175
"111",1208307.12304151,1181808.60835122,1183341.11120853,1181819.0943579
"112",1334257.88540293,1279617.15454634,1284479.8157744,1279377.35460468
"113",1154711.47291997,1137911.13496325,1138855.89941373,1137831.06344269
"114",1287002.23546212,1243749.82767885,1247073.82675918,1243668.18147457
"115",1216434.65632621,1188203.88465376,1189939.7010191,1188282.95256783
"116",1219059.92761805,1190524.87215686,1192717.86883046,1190418.98971902
"117",1222714.93152486,1193766.80432853,1195294.30733201,1193360.71667471
"118",1274446.69808025,1234079.35353108,1237020.53262984,1233937.58336428
"119",1327352.86146241,1274470.67375947,1277801.59085242,1274186.21224608
"120",1201407.03745094,1176349.28385376,1177757.64466273,1176301.22390529
"121",1174055.69394937,1153898.05962087,1155502.35678537,1153951.1210038
"122",1224842.90757661,1195316.32798526,1196954.76633077,1195037.26695349
"123",1426161.29442997,1346208.75913117,1351726.86801106,1345926.91956807
"124",1367596.61895464,1303964.48130517,1309741.40526929,1303946.49348692
"125",1298409.52347059,1252557.97468451,1256277.93654575,1252351.08352026
"126",1206643.67964265,1180422.86190338,1181943.7688725,1180437.24306905
"127",1246492.8281773,1212178.90945687,1215316.22355525,1212188.50640183
"128",1267456.08636334,1228811.63447443,1231169.73315852,1228602.76976303
"129",1195014.32591222,1171277.76227429,1173567.7074808,1171155.61126036
"130",1306378.29439371,1258804.98703303,1262358.32740001,1258349.21516993
"131",1249508.11470375,1214599.50926899,1217155.01998302,1214671.56795843
"132",1237186.46059525,1204951.62906962,1207548.18880115,1204869.89174427
"133",1387117.41060628,1318375.92220027,1323458.10606841,1318067.52403435
"134",1319763.13775737,1268725.50912596,1272155.15382443,1268517.14323584
"135",1273869.6019985,1233806.68776897,1237762.00326261,1233597.40085595
"136",1315421.96580035,1265293.55371152,1271033.95594682,1265229.20831724
"137",1257865.66298307,1221395.95314544,1223633.62165829,1221150.45023747
"138",1239583.92564396,1206980.14802078,1208983.51908081,1206816.25609101
"139",1300541.12080349,1253977.45556957,1258037.66305147,1253970.28214886
"140",1380431.05695242,1313302.74900319,1319236.16986217,1313272.8324098
"141",1210948.58546585,1183900.68274341,1188527.98748586,1183929.47641334
"142",1302539.74343529,1255658.63656359,1259596.97170101,1255544.27030472
"143",1123916.17597473,1111617.87125221,1112739.15429777,1111744.31902824
"144",1301356.30867536,1255012.5243734,1258137.10813049,1254642.52850044
"145",1283290.8465787,1240908.88397924,1245049.24189862,1240823.90473289
"146",1192579.48110415,1169035.98286546,1171876.80111685,1169095.15662418
"147",1230547.29691958,1199929.02333768,1202335.07744458,1199632.32760022
"148",1187773.61053235,1165121.51870978,1166700.75885178,1165160.40766614
"149",1357178.33602089,1296404.28424706,1300545.00391869,1296316.6564513
"150",1401785.32665128,1329159.67548442,1334846.57529882,1328702.13287953
"151",1238347.61109539,1205982.54767738,1210549.2317042,1205840.72753613
"152",1269587.99584737,1230420.17286278,1234124.93492529,1230225.59476115
"153",1302188.19139233,1255341.48112536,1258605.43915775,1255249.37779655
"154",1233315.443903,1201915.84418827,1204834.80907104,1201928.19515216
"155",1414322.03812642,1337888.93441614,1343260.40235413,1337631.54758362
"156",1163697.43428372,1145274.42613401,1146788.12877736,1145326.04768471
"157",1263940.59135186,1225758.10219851,1228482.58219991,1225783.96812109
"158",1233007.84687648,1201768.45483302,1203685.20107649,1201549.536756
"159",1185480.80060098,1163667.05416685,1164609.27407085,1163325.28395708
"160",1227866.38182665,1197591.10952922,1199319.92825119,1197530.22347951
"161",1168656.20135878,1149398.01437166,1151500.54897433,1149523.03639216
"162",1274671.08442402,1234338.38429332,1237271.57914627,1234169.00800918
"163",1276063.98518991,1235602.35531675,1238177.46107696,1235238.06969155
"164",1265036.28798572,1226687.35229389,1230887.91977148,1226698.89864948
"165",1363459.26202779,1300921.19982014,1305853.90329895,1300905.10779213
"166",1139180.76190161,1124752.59528275,1125304.79200104,1124737.06328381
"167",1423497.22559394,1344230.91212792,1350241.79873111,1344094.21316274
"168",1313991.18870701,1264547.46752879,1269408.99720579,1264248.95133792
"169",1371681.47023335,1307098.75758145,1313034.4271116,1306856.86960478
"170",1220433.82798522,1191645.06403363,1193590.8496373,1191582.37129071
"171",1194592.81714578,1170818.61903312,1173050.23647312,1170791.55044293
"172",1177012.64246515,1156517.52094859,1158915.29590937,1156408.06081199
"173",1164290.10034761,1146009.3467775,1147344.9304223,1145811.76638385
"174",1185586.65890482,1163458.3813786,1165277.9182505,1163414.44464255
"175",1223824.14491051,1194312.11590554,1195849.13203167,1194326.55899389
"176",1242571.17887847,1209246.48196917,1212436.31149145,1209113.42184036
"177",1295033.43569697,1249944.66056122,1252716.28741637,1249835.56012117
"178",1268198.7052901,1229438.48292931,1233527.46300881,1229148.04264028
"179",1355231.73358075,1295189.42526625,1299470.53857999,1294850.07824552
"180",1386449.53413425,1317709.70852142,1322801.91632871,1317581.64970947
"181",1336003.33033784,1280773.57926076,1284567.85786798,1280674.21336042
"182",1317706.4473548,1267278.09471305,1271614.36807396,1266942.00347759
"183",1360876.38026054,1298972.64388597,1304305.08830376,1298874.77300456
"184",1340586.28335875,1284111.22376502,1289636.62657858,1284002.23968011
"185",1274516.23794582,1233955.12708597,1236696.5400743,1234027.41642784
"186",1330210.28926142,1276550.41218648,1281265.95667749,1276302.22178323
"187",1289737.72861644,1245845.59809977,1248874.12050238,1245692.0786062
"188",1362062.77281426,1300179.47112724,1304677.10132442,1299745.99724765
"189",1119851.80803085,1108167.04008019,1109010.94040106,1108262.96221274
"190",1366486.03518554,1303350.35063871,1309159.87272732,1303095.15854342
"191",1391058.12509459,1321209.30753999,1327351.27785864,1320900.82082485
"192",1309105.58836273,1260484.5727793,1264178.91070238,1260447.84034471
"193",1244052.09535005,1210494.75714792,1213763.36617989,1210302.72860598
"194",1201450.82667029,1176375.76019293,1178107.08857107,1176244.29541704
"195",1378254.82930127,1311937.83841464,1317292.98525853,1311734.04268096
"196",1257897.45466285,1221336.42069452,1224422.61315755,1221140.9549639
"197",1245500.34525313,1211663.97968432,1215576.16291524,1211437.70266905
"198",1365821.49779107,1302792.09522826,1307441.35472614,1302609.74439668
"199",1294833.2608038,1249671.94321728,1252423.37648039,1249609.99479452
"200",1223590.31419972,1194101.64475629,1196439.08748422,1194053.44715413
"201",1294686.26403803,1249666.14584578,1253027.9933432,1249508.49204752
"202",1194781.26797888,1170989.006345,1172848.15231684,1170938.59186214
"203",1253020.64969552,1217605.14287707,1219411.68324078,1217354.60091316
"204",1333359.75562205,1278955.13479767,1283665.93501025,1278626.5418119
"205",1204294.18749009,1178501.62027679,1179898.39767247,1178532.22290396
"206",1255982.87367437,1219531.41461881,1222929.32124093,1219594.97195833
"207",1360334.67847293,1298889.8530671,1303741.25613085,1298593.46377381
"208",1310011.00972887,1261501.49934892,1264568.56619291,1261171.11546778
"209",1148747.16281407,1132942.82006721,1134665.41937879,1132870.89062025
"210",1188679.35047508,1166250.33556611,1167843.49374721,1165969.30975997
"211",1256809.6315686,1220355.33642653,1222887.03482983,1220271.52155053
"212",1335739.62856684,1280579.87851573,1285632.32361625,1280372.29560163
"213",1215658.53024539,1187770.33126663,1189934.72725082,1187762.06369856
"214",1160213.62999397,1142532.15522457,1143962.66636572,1142410.02520303
"215",1303621.22400692,1256316.04067779,1259776.65937704,1256284.38600342
"216",1475333.61273933,1380801.86857995,1388184.95073185,1380318.09025509
"217",1373160.85756529,1308323.67379415,1315098.53766322,1307991.08227298
"218",1278535.97164017,1237112.46545516,1241277.85149132,1237173.1380998
"219",1284191.70055732,1241813.20743577,1244219.39488229,1241549.27773413
"220",1277502.55082266,1236694.10189887,1240029.20797482,1236347.93697446
"221",1210685.5253793,1183883.99788112,1186132.50221565,1183740.75890558
"222",1289038.85217555,1245330.96991215,1248752.6982499,1245163.19014683
"223",1260625.91107505,1223300.97855589,1226089.08562828,1223293.17057818
"224",1255685.42308889,1219387.05999363,1222685.05443595,1219476.02072375
"225",1280633.42707807,1238724.20920649,1241678.9075815,1238751.66073961
"226",1241473.71128806,1208392.83050352,1210775.98136915,1208259.87913478
"227",1216622.74422543,1188792.73500549,1190305.8421333,1188566.85582608
"228",1169002.36349262,1149754.24209651,1150514.43722465,1149795.82483704
"229",1222655.6554922,1193438.08983567,1196056.20389896,1193352.99183246
"230",1129757.88393103,1116798.23037922,1118481.47913179,1116773.96272026
"231",1217193.61843254,1188873.36704531,1190760.79981852,1188944.01786705
"232",1261746.60940671,1224449.8774355,1227079.10235226,1224166.77739049
"233",1215537.23097043,1187795.62257888,1189474.89838805,1187648.73786241
"234",1163174.23761409,1145120.26020466,1146059.20578985,1144877.92029908
"235",1185429.32433895,1163354.51178415,1164900.38721258,1163310.6695835
"236",1193020.14687926,1169527.66402096,1171393.32016463,1169430.66997702
"237",1285671.47957431,1242676.33548275,1245873.75794872,1242607.60386632
"238",1280889.08980554,1238993.87810421,1242342.75288667,1238909.50025654
"239",1328999.09719458,1275758.58732878,1279835.28255587,1275405.56373033
"240",1263038.9540065,1225426.84430067,1228791.01960562,1225100.84699255
"241",1202498.4175007,1177451.02874897,1179835.44767239,1177167.39941631
"242",1193547.33117088,1169927.43895696,1173370.61354166,1169909.68154343
"243",1237690.02865876,1205332.62077373,1208157.36978384,1205308.76958766
"244",1180529.9407597,1159415.27159903,1160906.41247475,1159281.48642733
"245",1289166.17389618,1245564.29927609,1249034.55047774,1245302.12734651
"246",1277252.4038751,1236140.87123403,1239000.87910146,1236150.86460829
"247",1225325.40997083,1195775.14031084,1197903.55300142,1195503.28338822
"248",1296596.86363059,1251312.50309155,1254719.35156923,1250954.13831438
"249",1142185.02599803,1127371.39803132,1128630.23991802,1127325.5982557
"250",1172127.46431559,1152337.61592488,1154464.97723019,1152356.2332435
"251",1334239.66765607,1279587.71189841,1282686.91568137,1279264.85461016
"252",1334565.53368641,1279555.4186121,1283810.78156376,1279542.87715295
"253",1327385.01350095,1274241.25446558,1278416.94480459,1274168.70626679
"254",1224073.21869065,1194491.59048276,1197196.92744892,1194438.09324119
"255",1363911.13987963,1301383.74397942,1307093.6272969,1301225.51818679
"256",1304761.3407916,1257211.80410366,1260321.31833638,1257219.3568875
"257",1115538.11333802,1104623.91882327,1105240.54562083,1104576.73922436
"258",1302118.43705338,1255359.38877909,1260575.36415324,1255155.85233169
"259",1289528.99618243,1245600.06331343,1248771.0644762,1245600.35423033
"260",1151376.80145514,1135304.75072696,1136774.58538344,1135056.86349492
"261",1348608.57323104,1290025.45935162,1294711.54508557,1289931.59182982
"262",1270771.54955682,1231168.56149994,1233415.80238763,1231202.9809325
"263",1210565.940139,1183832.739406,1185869.1388684,1183682.46291072
"264",1186298.38382238,1164242.44557629,1164931.39008444,1164016.61200098
"265",1377416.26692713,1311426.62459808,1316519.98308443,1311046.52301566
"266",1227246.08908001,1197291.95158369,1199645.23639561,1197080.50446539
"267",1189354.12078143,1166466.71395112,1167930.31358415,1166465.2549347
