"","v_bh","v_daily","v_mon","v_con"
"1",1352173.84344299,1340768.52302509,1339720.3238205,1340593.99864119
"2",1308519.88984488,1302241.44949396,1301426.1508191,1302383.22742828
"3",1237705.07159482,1238026.69151591,1238496.13990276,1238103.82511257
"4",1395957.75237899,1377481.90048421,1381114.71738849,1377722.41391947
"5",1317142.24503126,1309941.18760715,1308988.88583031,1310181.15041754
"6",1321679.64364723,1313862.47299228,1314063.44497732,1314169.94245924
"7",1246002.37452998,1245461.7938099,1244581.25140359,1245756.73890875
"8",1313324.07897962,1306278.09698337,1305504.81494573,1306766.98044319
"9",1440722.39373409,1414751.5863335,1415593.15970092,1414963.86695423
"10",1213462.83842444,1214968.1573688,1214635.08821407,1215080.14698889
"11",1415096.54096187,1393592.54779204,1395398.58787882,1393794.31704058
"12",1313628.9160695,1306540.47068364,1306967.83962011,1307050.77475889
"13",1302228.393879,1296584.62961998,1296349.02904482,1296649.98076778
"14",1485811.96201447,1451336.29224122,1454840.04238226,1451387.08959555
"15",1205796.91788542,1207676.62476591,1208162.15175209,1207778.20286798
"16",1512011.66300199,1472274.29393045,1473818.85797412,1472009.92286552
"17",1460418.42789875,1430801.90880839,1433347.21840503,1430930.36121047
"18",1306831.24859973,1300837.95980448,1299367.69429653,1300974.68528754
"19",1365188.75983564,1352226.32847878,1356771.0513119,1351860.63575844
"20",1336355.77593297,1327221.03175777,1329405.39098198,1327010.12274838
"21",1261266.93094163,1259736.97217125,1258324.0042051,1259957.12514584
"22",1476986.05043325,1443941.45465021,1445478.76053271,1444280.69090889
"23",1390623.76151096,1373713.45938112,1374877.58997934,1373232.13984395
"24",1180267.6116137,1182795.68084578,1181870.60048137,1183096.11330611
"25",1250551.68672604,1249732.15070663,1251071.91319885,1250038.76911649
"26",1587035.90174002,1530316.07538165,1533734.84379297,1530026.76352955
"27",1424463.50318183,1401773.24538106,1404649.35396308,1401812.61134402
"28",1544232.44930005,1497861.13574439,1500681.8037958,1497253.58487486
"29",1272072.56662327,1269848.32026681,1271147.2820168,1269961.35159219
"30",1342548.40975173,1332498.59487502,1331221.92988892,1332671.05552777
"31",1577929.85778702,1523213.1891102,1525758.43639938,1522999.85246329
"32",1433519.26409977,1409100.64380202,1409687.17147009,1409064.07051503
"33",1219724.70573086,1221357.85825032,1221113.82310576,1221149.96111495
"34",1266269.08120168,1264828.14670396,1264845.0940367,1264370.4500008
"35",1590274.32372927,1532599.4619705,1534997.77904174,1532346.57615378
"36",1388677.59511643,1371868.35185609,1372720.52729544,1371753.8946348
"37",1538113.95468382,1492521.96516189,1496670.30009187,1492450.15663569
"38",1247951.68952916,1247510.8935745,1250035.11597665,1247622.01363847
"39",1505595.45234225,1467237.49246422,1468801.36466231,1467055.74319258
"40",1280105.75982876,1276601.59543464,1276022.79214322,1276911.73731703
"41",1362069.12050985,1348843.37914594,1348832.75114853,1349321.41301717
"42",1412443.28960393,1391897.08137698,1392109.16412223,1391785.11557984
"43",1382369.48716206,1366271.96433455,1368506.01555267,1366527.70128392
"44",1242027.18070033,1242093.24249486,1242525.47446511,1242085.56585495
"45",1246809.08316865,1247196.4097864,1248448.75876392,1246670.66255358
"46",1570478.55734058,1517409.87144823,1523448.54846127,1517416.16932713
"47",1382909.19142431,1366714.00557439,1367444.23155529,1367025.5965375
"48",1238882.62939505,1239350.06049368,1239511.22828756,1239104.46607323
"49",1459313.4396775,1430432.00211982,1431322.36781908,1430011.9594228
"50",1340003.55360789,1330307.77367442,1332017.87736789,1330051.07389801
"51",1262095.66154981,1260857.07082303,1259136.5069346,1260615.1123956
"52",1228099.93520922,1229109.00512577,1228012.65277375,1228966.4666216
"53",1379458.41557946,1364132.897065,1363868.82361871,1364202.0986841
"54",1212333.13597928,1213899.24990183,1214513.55464349,1213980.03868602
"55",1374364.85578172,1359164.50048713,1360944.92550515,1359537.16352941
"56",1558510.5084149,1508477.37731643,1512883.28508211,1508370.83842654
"57",1378086.14236491,1362846.56962427,1362858.95813413,1362766.27353126
"58",1462438.20781799,1432283.55184411,1433568.90709051,1432693.29820804
"59",1174803.63297435,1177562.31279505,1177783.02741886,1177887.69895904
