"","v_bh","v_daily","v_mon","v_con"
"1",1029194.13192601,1031671.15546213,1031561.35736567,1031891.61671644
"2",1281567.11373466,1263991.72459867,1266308.91922246,1264008.7465887
"3",1180488.677896,1176154.20352638,1175392.91075565,1176486.91693453
"4",1088986.97823499,1091147.99245275,1089966.9399479,1091322.59281299
"5",1121848.89560149,1122703.14917264,1121633.91972156,1122832.42315108
"6",1127809.9496422,1128779.75488204,1128209.40455323,1128383.33905056
"7",1252301.71816554,1239625.32051573,1241116.64734696,1239296.44461065
"8",1054195.72764224,1057409.20693445,1057719.35466617,1057275.38025426
"9",1076019.42439711,1078420.80670535,1079085.93281779,1078636.4263179
"10",1309949.02776742,1287108.76401262,1289642.45697106,1287350.89779932
"11",1127569.17279863,1128359.36045329,1128784.23168828,1128139.66446724
"12",1106105.11795951,1107549.21898983,1107528.05987099,1107825.29864372
"13",1048799.26292817,1051723.65430375,1051048.47715511,1051734.38281244
"14",1234028.94713154,1223764.05976871,1223579.06840016,1223722.03720624
"15",1295325.8979762,1275060.93845756,1278700.92763662,1275385.595737
"16",1197347.51823853,1191105.22648278,1192415.77719237,1191525.15922416
"17",1181068.52758214,1177495.5983474,1179767.30960355,1177161.57373546
"18",1216991.80864335,1209214.28648285,1209052.5024079,1208782.36781473
"19",1081094.09807551,1083383.19842173,1087986.904967,1083613.93980477
"20",1107007.80103588,1108650.84447949,1108732.34797851,1108620.87427334
"21",1206866.2918634,1199952.21791268,1198727.78193226,1199872.47864324
"22",1106286.34369264,1108054.98228738,1108850.79916224,1108045.38280149
"23",1415149.29408077,1371298.61074842,1376078.48202694,1370956.01882338
"24",884182.544760935,871031.523466008,870647.62231718,870967.129988733
"25",1043285.53183129,1046228.40792908,1049561.01900941,1046158.69678226
"26",968519.70864285,968001.875499734,967165.883671417,967983.692512891
"27",1204980.88695046,1198429.8430469,1198595.85071163,1198355.95859282
"28",1091728.08768525,1093928.92302737,1094060.37522944,1093866.06253426
"29",1213934.36387932,1206395.95811558,1206312.80429207,1206350.76715243
"30",1087394.14007298,1089566.99761083,1088358.00104642,1089748.71592086
"31",1338054.75845918,1310705.29298284,1311411.41125525,1310436.43001052
"32",1071055.53766029,1074118.790225,1073664.08693123,1073872.0246973
"33",1171454.7512428,1168450.66236421,1168911.77554748,1168491.15590328
"34",1231552.7175742,1221380.08398589,1224095.86483832,1221585.47631332
"35",1042033.70664537,1044691.07087985,1045245.72777797,1044804.14904644
"36",1018615.87736392,1021304.30262607,1021687.95046658,1021013.1668895
"37",1155732.03759726,1154795.01621247,1154590.01970623,1154174.04980046
"38",1164397.14940223,1161663.10571557,1161618.13099647,1161904.66382996
"39",1092132.64350426,1094680.55108385,1093403.19721811,1094421.56066559
"40",1133828.38578965,1133754.86264125,1134028.87626925,1133792.57116288
"41",1133600.29184103,1133685.05794918,1132728.92026184,1133711.16746405
"42",1150996.84877961,1149671.46273119,1148960.88383725,1149958.86620708
"43",1217919.85906208,1209590.07331693,1209781.16272332,1209742.08307842
"44",1149606.74793161,1148746.25721939,1148396.0309376,1148522.97034245
"45",1244861.66482109,1232765.18861729,1234784.07448943,1232845.23351835
"46",1101141.22554637,1102997.80329658,1107215.68748418,1102941.40015232
"47",962939.401754329,962032.32779732,960795.425337875,961729.895885624
"48",1089904.76250407,1092487.80412175,1092428.66680164,1092299.75180995
"49",1416123.55018432,1371811.5736933,1374519.12271938,1372092.45497442
"50",1059131.88945496,1061898.41700052,1064764.99784207,1062057.60940362
"51",1212118.81320891,1204971.48959989,1205486.4978046,1204714.26914468
"52",1317477.54119807,1293941.20488058,1296069.22093757,1293612.27096286
"53",1102565.5913111,1104334.05467879,1106518.38669962,1104412.64427407
"54",1190344.79104102,1185694.36763201,1186851.13640968,1185309.60708047
"55",1065499.19836739,1068754.46425361,1068535.18282552,1068441.65246436
"56",1245670.86799395,1234077.85800101,1235714.66638521,1233632.01924689
"57",913249.709591836,905111.864342832,904812.334251554,905428.52286388
"58",1244686.19258588,1233123.92452234,1234630.79904493,1232746.54062813
"59",1260816.22786742,1246673.22671965,1247876.70725734,1246577.70735656
"60",1176751.96743301,1173204.12703804,1173856.17133406,1173186.86834257
"61",1004437.85027275,1006323.97706176,1005850.82404234,1006197.77899908
"62",1003735.64412022,1005766.01573424,1004843.50657562,1005504.48098373
"63",1239067.55569963,1228126.54769257,1227149.1082908,1227919.10016107
"64",1103714.71648264,1105855.59889365,1105631.55195795,1105473.14802848
"65",1312920.89805655,1290478.20864294,1294312.34977095,1289969.81924281
"66",1068203.19606082,1070491.79099153,1069768.3544968,1071008.74367935
"67",1267785.48441942,1252629.63907921,1254306.77833986,1252344.56615104
"68",1045171.41676034,1047948.29670008,1049756.50548812,1048112.68621153
"69",1095265.12255437,1097233.49822303,1096586.12240877,1097443.97522083
"70",1304780.83848041,1283260.56715189,1287038.09525942,1283163.81817842
"71",1037838.56355321,1040637.56138429,1040692.94924793,1040660.55206257
"72",1180598.25242938,1176771.61738859,1178883.70680563,1176545.63854619
"73",1076081.90298174,1079045.98215599,1080416.7776732,1078750.2588756
"74",1116530.99322744,1117320.08017559,1116433.27779397,1117690.75417126
"75",1107461.8759603,1109696.00340743,1108652.48490372,1109169.20198272
"76",1104231.33088027,1105826.8741862,1105695.32743457,1106079.92372367
"77",1365354.25862984,1332318.05444605,1333764.30373806,1332188.63709623
"78",1254542.17728325,1241554.99554511,1241595.02159773,1241142.79842644
"79",1138232.75810277,1138065.77650657,1138792.95796926,1137969.28716199
"80",1148689.15602039,1147347.56683925,1147593.49381088,1147578.22970588
"81",1158937.74944471,1156871.11384963,1156425.09373237,1157112.49197356
"82",988130.742065096,989111.058450301,988210.161334209,989038.924808048
"83",1291573.01326644,1272739.37049007,1274372.30897521,1272325.62444609
"84",1025002.61184987,1027515.20662027,1026539.60385587,1027474.979651
"85",1237362.6716447,1226833.08116284,1229177.04980666,1226477.60393229
"86",1287449.26753875,1268536.6890637,1270105.72426805,1268802.95738895
"87",1321074.63969641,1297071.15437331,1301103.76569377,1296655.80151815
"88",1140065.34696952,1139586.77699672,1138719.08408775,1139642.01150463
"89",1049145.23730657,1052150.63004151,1054706.21470735,1052159.96021982
"90",1279142.52268829,1261823.3024396,1262998.67934539,1261855.77746909
"91",1164757.67811456,1162164.42631562,1161423.810105,1162418.936494
"92",1219063.80092588,1210744.24383119,1210315.89948801,1210710.89042567
"93",1151391.01903432,1150292.69361397,1149132.17731071,1150062.55120307
"94",1115511.7750767,1116527.62597134,1118208.03696605,1116682.02252224
"95",1153722.98205121,1152315.22726437,1150381.51465618,1152276.20927029
"96",1197525.3704692,1191756.65915726,1192890.74255794,1191760.3723855
"97",1114786.01579744,1115682.37080838,1115317.13228439,1116039.74013166
"98",1130300.28525128,1130533.56365268,1131504.44455643,1130579.13898679
"99",1046902.20434155,1049570.63305793,1049353.93323707,1049836.031056
"100",1302327.99070166,1281056.74130848,1282361.04982388,1281211.86576948
"101",1275841.06725714,1260046.42210941,1262550.30846597,1259327.64848497
"102",1015306.55519107,1017279.11422429,1016872.95219208,1017503.60966192
"103",1031457.82270512,1034582.03791537,1035642.25947175,1034255.83305246
"104",1184820.45421124,1180113.89498068,1179424.57006986,1180245.2169391
"105",1074036.68824089,1076459.43327222,1075124.04157714,1076717.68812957
"106",993347.794556799,994387.866474268,995818.742860239,994340.512077482
"107",1170815.91384781,1167635.96183608,1168242.93910498,1167671.17700911
"108",1118046.51286239,1118745.70779217,1120190.30233539,1118958.89079099
"109",1030022.89530964,1032613.11246655,1031897.29974747,1032663.12929808
"110",1097007.5098603,1098833.22371474,1098390.14798036,1098933.98171535
