"","v_bh","v_daily","v_mon","v_con"
"1",1212828.8963537,1208837.35699066,1209189.30822532,1209029.91807021
"2",1164552.91535608,1164092.22780836,1163640.17064344,1164270.50675378
"3",1200669.3418752,1197761.52079375,1197235.84690586,1197947.69067211
"4",1168086.27442814,1167590.50473412,1168225.37124197,1167522.92021199
"5",1161722.63517861,1161552.38006582,1162162.38558135,1161524.32770505
"6",1165995.46480903,1165774.62118694,1165838.4838566,1165681.24892475
"7",1050026.12286947,1050228.57398833,1049589.71831625,1050181.16226145
"8",1115475.19234784,1116986.05512868,1116559.86688698,1116820.47944558
"9",1177706.03616815,1176617.44796804,1176682.36882118,1176562.1870267
"10",1145168.14611822,1145758.71576303,1146361.04572967,1145728.60569017
"11",1183583.99895139,1182019.27352669,1182407.00961842,1182110.20169741
"12",1195138.16418718,1192842.6190452,1193090.26415917,1192807.36402624
"13",1153071.54149098,1153416.85534714,1153985.7439979,1153304.60661838
"14",1140746.18971513,1141325.88627084,1141250.06984074,1141393.95629592
"15",1161146.05209194,1160957.69058815,1160614.33556164,1160899.40449077
"16",1183007.48087429,1181633.99588929,1181929.23625685,1181567.98019689
"17",1100628.84538854,1101984.50533015,1101749.22309031,1101920.04614407
"18",1163924.19093512,1163416.83689721,1163223.90699827,1163548.89846192
"19",1189015.79075432,1187455.70433019,1188372.47247245,1187195.54041002
"20",1144040.50857521,1144723.14419047,1144416.66094052,1144638.85408559
"21",1199900.80315736,1197143.64339894,1196868.43347981,1197276.86344086
"22",1150450.05805565,1150660.3940281,1150003.20667935,1150783.1639547
"23",1113214.01858151,1114606.5286121,1114840.52296374,1114548.32355864
"24",1126622.43422967,1127806.20843753,1127355.1287601,1127724.66889323
"25",1096440.73959056,1097857.07231812,1097070.83855662,1097789.89947352
"26",1240993.07573165,1234375.88226471,1234253.39250307,1234503.9369102
"27",1257241.52325897,1248826.90021508,1250216.46954321,1248896.38749625
"28",1211682.69138276,1208277.70344043,1208300.57690599,1208100.11037653
"29",1189964.90420912,1187879.67209822,1187444.25410988,1187984.40569664
"30",1113969.16945022,1115346.18307798,1114687.77211165,1115277.01180379
"31",1257996.41314952,1249661.51440784,1249649.33876647,1249506.95151694
"32",1182533.63719604,1181024.629187,1181155.2342026,1181118.65334426
"33",1243729.99226872,1237057.60066766,1238156.55455968,1236893.68027183
"34",1149717.67065394,1150520.50383218,1150662.40440539,1150095.44477883
"35",1175245.39507849,1174245.1226488,1173797.15113692,1174333.5947358
"36",1150414.06951914,1150677.65047071,1151210.01700581,1150667.18357176
"37",1149528.73252553,1150127.28812661,1149135.22609011,1149890.13798954
"38",1140453.69910229,1141210.26812428,1140829.98674422,1141141.02393682
"39",1162856.36266258,1162455.60822107,1162316.49272133,1162599.38430807
"40",1289145.79604552,1276834.22834912,1278391.04587889,1276734.6712875
"41",1264532.97160503,1255231.89467593,1255951.47889978,1255237.55392257
"42",1163588.48771524,1163195.70438171,1162733.47902977,1163165.36332393
"43",1192162.81395185,1190169.37358427,1189432.9094234,1190051.75524847
