"","v_bh","v_daily","v_mon","v_con"
"1",1210599.06548553,1200824.76448314,1199841.31094997,1201737.7579181
"2",1166022.239504,1162305.83744898,1160524.69112553,1162923.52192506
"3",1142000.38624139,1140860.18679024,1139635.65019886,1141322.87308153
"4",1244482.24885161,1230359.76534826,1229311.52579577,1230136.28864367
"5",1131396.06750773,1131621.44451648,1129492.3885827,1131347.90818636
"6",1221744.5085218,1210751.00640538,1209941.52276857,1211163.86130994
"7",1489707.38032175,1422260.39000745,1434497.14112336,1420839.39678603
"8",1029722.57282785,1034323.9025583,1032059.87074581,1034931.58593798
"9",1370062.52490698,1330959.55312783,1334567.53079441,1331244.72189924
"10",1530191.80536996,1450187.68052063,1455504.50996489,1450117.44962517
"11",1154014.33670156,1153113.03978604,1160217.40622853,1152123.09886244
"12",1268904.98154398,1250471.71484793,1251672.04953816,1250711.67336128
"13",1289707.03661594,1268159.12882054,1266644.14605442,1267397.50820653
"14",1063722.97777511,1068089.85397914,1069851.75712694,1067972.62870295
"15",1145853.34634252,1144050.49047501,1143089.66063241,1144595.59494213
"16",1344402.04309231,1311116.13869457,1313772.66892774,1310952.44296598
"17",1204380.82582377,1196609.11849978,1194336.97771866,1196025.17302621
"18",1324379.09395294,1296307.09847439,1302193.01666714,1295286.55383384
"19",1198400.79048385,1190694.93683883,1192777.71071665,1191170.74935237
"20",1162382.97936874,1158837.80378037,1164157.07450963,1159179.67622486
"21",1086211.01294828,1089700.15662465,1089037.20559875,1089674.75318595
"22",1433999.57090866,1381003.28221624,1390389.37082976,1379846.54146967
"23",1356422.88243617,1320229.00992328,1322409.60853694,1320461.09546203
"24",1375268.57023387,1335331.43945793,1337536.43893293,1335239.34588195
"25",1201034.1117227,1193162.56016851,1192739.90620018,1193336.1016847
"26",1173699.96305789,1170180.14540661,1171203.73841961,1169520.51874697
"27",1264832.99171675,1248352.09287145,1252042.78623173,1247301.79451831
"28",1162004.72863713,1159207.90362072,1160356.24949776,1159038.02386748
"29",1048097.30477316,1053160.34794374,1050657.35914946,1052971.69286942
"30",1155037.10514857,1152257.50463856,1152209.81960431,1152747.51891155
"31",984109.031477041,988552.403739909,989815.79726638,988365.2807044
"32",1203229.44790265,1194288.07615001,1195107.63440335,1195123.82953047
"33",1273375.04841456,1254774.17991216,1261157.46416691,1254389.95837419
"34",1240857.39610147,1227263.36776661,1225117.77011549,1227267.3587313
"35",1278453.21640785,1257491.21309517,1257083.3894531,1258099.26478653
"36",1148421.85247498,1146689.1040145,1150683.32221256,1147177.4427341
"37",1340114.46123431,1307321.80702445,1309733.44668515,1307943.88651491
"38",1215820.23126011,1206471.50348612,1206014.27423705,1206185.45270771
"39",1386223.97776933,1343814.15065293,1345156.50409427,1343474.95938946
"40",1014757.98901197,1019984.80247431,1020606.17845724,1019806.97764116
"41",1212170.24539605,1202246.82963371,1200533.71833933,1202718.71393041
"42",1001993.87540427,1006637.55552153,1007257.54513759,1006985.49824571
"43",1093210.51018688,1095809.812519,1097906.44792427,1096285.05016661
"44",1378934.03023955,1337920.50876275,1343139.36772733,1338185.47834509
"45",1241127.11524772,1226964.42734145,1229854.15706572,1227316.96730692
"46",1181609.70458813,1176716.64191115,1177441.18277643,1176451.45895932
"47",1263373.91316494,1245788.35626261,1244658.06275602,1245854.84260213
"48",1306221.82561054,1280232.08477525,1283071.58735195,1280560.78117527
"49",1285500.47558321,1263356.54256315,1264487.83859645,1264207.8851931
"50",1297544.84658091,1274592.009043,1275926.16315889,1274058.10223445
"51",1191920.61585298,1185604.39327924,1186393.60496861,1185464.30841466
"52",1391276.17494133,1348173.90142317,1349267.75299399,1347432.1060795
"53",1034823.72415406,1039419.39249614,1039695.93647712,1039802.8450569
"54",1313641.88232124,1287365.27325048,1288911.33075841,1286758.43242572
"55",1368848.31993592,1330603.2595675,1337335.54709987,1330149.79760381
"56",1278241.60021183,1259610.6457365,1268473.84455547,1258514.37875773
"57",1295476.91947295,1272221.85908161,1273954.23687182,1271850.04583587
"58",1154986.78689336,1153166.56693999,1150161.12709051,1152582.10095277
"59",1029302.89301246,1034241.24315185,1034052.56455598,1034420.98707582
"60",1254803.23571845,1239056.36383543,1239243.60384083,1238910.94877582
"61",1378178.18198065,1337469.9182699,1342848.72819707,1337479.65265812
"62",1335520.73232004,1303804.90206742,1306319.83038588,1304122.0289479
"63",1219899.06114764,1210491.42596816,1209326.08517349,1209615.67228451
"64",1297877.07939734,1275624.74418057,1276306.89064503,1274331.71749749
"65",1256192.63961052,1240019.72702549,1239828.75510144,1239839.61100051
"66",972877.755750702,975947.706880983,977737.445726083,976311.19386601
"67",1022013.47420347,1027723.58960726,1027005.21808868,1027138.85900645
"68",1465196.65256273,1402781.88327252,1404092.29165296,1402997.74826089
"69",915140.776280168,913197.674936704,914953.215000455,913584.056003144
"70",994182.75496738,999202.816093216,996471.561671558,998780.943958685
"71",1514598.98704871,1438062.88153206,1443319.49440875,1438507.3591176
"72",963368.099090618,966751.090522121,968600.155367688,966513.329762477
"73",1385477.01523427,1342185.6649769,1345382.56901988,1342872.56076695
"74",1066351.95880853,1070765.60401993,1072678.59543755,1070557.16153741
"75",1183447.87940923,1177405.61906067,1174054.86442384,1177889.59387249
"76",1077967.17325506,1081919.84667896,1086406.07281026,1081814.91083898
"77",1427111.75691003,1374540.12629174,1375807.7744847,1374589.56814392
"78",1072724.2487911,1077151.66609953,1077973.46043561,1076739.80954685
"79",1375042.99690172,1335080.54678357,1341572.06366693,1334879.40893957
"80",1251310.24077759,1236584.37942121,1237678.99360018,1235722.46683364
"81",1316404.05326633,1289684.86985503,1288348.73064191,1288977.40053459
"82",1188956.04984998,1182880.78278938,1183388.72306594,1182537.30722172
"83",1438393.26550784,1383040.453394,1385332.11389749,1382980.56073165
"84",1185091.0082308,1180680.5100067,1177826.4336406,1179464.58986934
"85",1002151.09059775,1006460.68517119,1004361.78756999,1006980.89039792
"86",1125592.83478252,1126104.25771545,1124038.75596768,1126316.3844974
"87",977774.984982211,981811.294793899,980637.197672347,981653.457813328
"88",1150866.2782522,1149278.9858352,1149495.22159265,1149134.14564508
"89",1058329.80235739,1062074.16692298,1067472.59715041,1062941.11906933
"90",1159091.2211529,1155945.38164285,1155596.79959839,1156221.45516671
"91",1448722.16091991,1390617.79007787,1397460.10115838,1390528.08321298
"92",1170551.39912274,1165794.6272588,1166142.17138532,1166657.90745998
"93",1200538.24598699,1193236.88585515,1194253.43319947,1192410.39069231
"94",1385840.19213995,1343708.54786854,1347460.43946808,1343360.2703791
"95",1273701.80554607,1253310.45078342,1255201.94625158,1254118.32744026
"96",1228273.09510001,1216087.95510946,1216041.02756656,1216221.7316642
"97",1313609.76885566,1285906.21923875,1291718.15233749,1286436.63800407
"98",1100995.59565678,1103765.52192294,1102141.60928588,1103351.51330453
"99",1195961.46447932,1188396.17636736,1189076.82520434,1188593.19873802
"100",1157282.53401207,1155089.40856445,1154932.25521246,1155128.85713985
"101",1018964.74601901,1023943.14027869,1025738.51466038,1023949.94074415
"102",1063003.33511987,1066785.78709698,1066725.69180515,1067180.79376573
"103",1038486.19196802,1042672.64390049,1041124.0071873,1043531.27392187
