"","v_bh","v_daily","v_mon","v_con"
"2",78741.262963695,87546.1635922574,86842.1185083464,87583.395848152
"21",70125.8864169131,79297.8651223212,78460.571642657,79322.8621890289
"22",75009.4636750792,86108.8852393913,85227.7207835051,86138.9921063143
"23",73645.3276564719,84981.1235301026,84109.066373457,85026.2951473672
"24",75405.6285900558,87297.5246168797,86441.7314018239,87327.136458735
"25",73533.7140030054,89249.4543222729,87876.4447210501,89332.4792917874
"26",77492.040682654,94635.0962513598,93361.6271716239,94700.019238183
