"","v_bh","v_daily","v_mon","v_con"
"2",41500.1367484234,32323.7353534783,33042.8333638752,32292.0608311072
"21",39560.9133804008,31186.851405116,31855.5015257945,31154.5087794115
"22",39720.5738246289,31848.773931827,32473.228769678,31819.5112162192
"23",38180.7923748399,30854.1188830369,31434.4290479906,30829.2749439215
"24",38180.7923748399,31302.5911489247,31847.9601079942,31279.2050708028
"25",40260.87357792,33700.1546695541,34223.7562165851,33680.0704553327
"26",41805.4196451778,35773.7475518312,36244.1698980309,35752.5827174106
