"","v_bh","v_daily","v_mon","v_con"
"2",183501.618756447,150292.880795404,152826.298746615,150203.309657285
"21",187080.043620279,153744.331577323,156458.693502216,153640.310247983
"22",174066.483297718,146835.632142793,149170.402606404,146661.285054106
"23",181489.609421343,153637.799926848,155802.181406378,153545.637556005
"24",177246.997530851,152587.519894354,154399.822149419,152442.512770617
"25",180130.528002496,157097.668946239,158716.771279502,157089.317836019
"26",179868.158877688,161940.451245229,163418.270858565,161898.62483264
