"","v_bh","v_daily","v_mon","v_con"
"2",154516.66237393,173805.318885585,172985.775882449,173918.053258103
"21",162366.855189341,187353.63669724,185789.204577532,187581.853054871
"22",172852.358382317,190478.254750458,189878.383938873,190451.092057646
"23",163702.958108571,187035.320053646,185291.098561508,187025.577607862
"24",189658.866876332,214436.933045849,212526.958091978,214572.286408207
"25",171779.148689904,205242.247218906,202448.218905739,205239.705842714
"26",173257.836536941,208843.316891977,205798.94495931,208710.850633369
